latitude,longitude,temperature,humidity,cloudiness
4.14,96.13,82.26,80,100
37.34,-121.89,48.25,81,90
59.7,30.79,37.44,87,90
71.69,128.87,-27.35,92,0
-23.12,-134.97,77.47,79,81
5.35,48.53,77.67,77,7
71.92,114.08,-31.83,90,26
-26.65,15.16,69.8,77,2
53.0,31.6,33.8,80,90
78.22,15.64,21.2,67,20
52.96,4.76,42.31,87,29
65.58,-171.0,5.81,95,100
54.32,-130.32,37.4,93,90
65.61,-37.64,15.8,47,0
30.58,-111.1,67.71,41,100
22.89,-109.91,76.17,60,20
57.14,-2.1,41.94,86,17
-54.8,-68.3,51.8,71,40
-41.87,-73.82,75.2,41,0
-5.25,14.87,72.52,92,97
-38.27,141.97,57.85,73,60
-46.13,167.68,55.99,96,95
-33.65,115.33,60.53,52,21
50.63,-96.99,0.09,90,0
-34.53,20.04,64.63,88,99
21.2,83.58,67.06,56,17
18.9,-3.53,69.42,17,0
73.51,80.55,-26.91,96,21
-21.2,-175.2,75.2,78,20
30.48,-115.95,62.04,64,49
62.46,-114.35,-13.0,75,20
-42.78,147.06,54.99,71,90
-33.59,26.89,63.0,87,94
5.41,100.34,83.34,66,20
28.66,-17.92,62.4,59,75
32.67,-17.1,58.44,55,40
64.89,-23.71,33.06,71,100
42.1,-79.24,19.83,57,1
71.29,-156.79,-0.4,84,90
37.47,-4.44,47.16,50,63
-33.7,-53.46,87.85,45,0
69.22,-51.1,8.6,46,75
40.6,-124.16,50.58,71,1
-33.02,27.91,64.4,88,75
42.6,-73.97,18.57,48,5
-0.74,-90.35,81.73,74,40
14.9,-24.5,72.54,71,0
-34.42,19.23,67.73,91,18
65.28,-126.83,-18.4,75,20
3.46,8.55,86.0,70,40
4.88,-1.76,82.92,68,87
-34.0,24.73,64.18,81,96
-46.19,168.86,55.99,96,94
39.05,-27.98,60.91,82,98
50.63,38.69,28.9,94,100
-24.79,-50.01,82.38,43,36
-33.93,18.42,70.09,64,20
61.99,5.14,48.09,93,75
22.08,-159.32,69.98,73,90
13.07,-59.53,84.2,66,75
-13.7,-76.22,72.19,30,75
64.38,-173.3,3.94,92,100
-33.92,25.57,68.0,77,97
-16.48,-151.75,81.07,76,100
67.8,130.41,-17.34,99,99
-53.15,-70.92,59.09,55,75
35.13,140.3,39.76,65,20
58.57,5.7,45.03,93,75
-31.95,141.43,60.8,67,6
-10.17,123.58,80.6,94,75
-20.33,-40.29,78.35,69,90
71.97,102.5,-32.71,99,0
23.15,-81.25,77.0,78,75
37.68,-113.06,34.29,69,1
-17.73,-149.15,82.24,74,40
-2.0,-49.85,83.43,83,53
19.73,-155.09,67.03,82,40
-20.41,57.7,80.76,83,40
5.38,-52.95,79.84,75,25
37.1,-113.58,45.03,52,1
22.29,114.16,62.83,77,20
63.08,27.67,37.4,86,90
20.82,71.03,63.57,48,0
-46.6,168.33,55.99,96,77
-6.47,16.82,71.69,92,99
67.45,153.68,-27.49,96,100
29.11,21.29,57.99,51,0
34.64,-120.46,55.2,82,90
37.46,-122.43,48.38,76,90
42.9,133.91,11.98,69,72
41.37,-73.41,26.51,32,1
69.38,178.42,-4.79,96,100
-8.14,159.59,79.36,79,9
63.29,18.72,44.11,86,100
-24.87,113.63,73.4,83,0
-23.7,133.88,78.8,26,2
-8.16,-70.77,82.35,69,98
-2.68,111.62,73.63,97,100
52.06,1.16,36.41,93,3
3.07,172.79,84.52,69,100
64.57,143.2,-45.38,100,97
42.43,68.8,30.2,100,90
48.68,71.64,6.67,96,80
41.28,-70.1,26.04,63,75
-0.61,-47.36,82.04,78,55
36.37,30.29,39.58,52,0
20.5,-10.07,67.08,16,0
-5.67,132.75,83.52,79,73
53.58,-116.44,15.8,85,75
-33.87,121.9,62.6,67,8
-11.37,38.42,77.88,93,99
-21.21,-159.78,80.6,88,100
60.14,-45.24,26.1,92,100
-14.66,17.69,68.31,87,91
43.27,-7.54,43.3,80,75
39.09,17.12,51.8,76,40
54.3,59.45,14.36,88,67
38.52,-28.7,62.6,77,40
57.05,-135.33,37.4,80,90
-0.6,73.08,84.04,77,88
32.33,-117.03,57.72,76,75
-2.57,150.8,83.16,79,45
27.93,84.42,48.4,72,11
-42.88,147.33,55.09,71,90
29.97,40.21,55.4,44,40
53.8,64.15,16.0,97,90
50.86,0.57,35.35,93,0
63.05,179.32,-6.54,99,68
61.99,-49.67,22.44,87,100
66.04,-17.34,33.8,59,90
-9.8,-139.03,80.24,73,66
46.01,40.46,34.0,61,0
35.17,-2.93,49.15,76,20
13.32,12.61,70.5,21,0
-34.76,-56.39,86.67,49,75
10.57,72.64,82.31,74,85
31.67,38.66,48.2,81,75
44.37,-100.35,8.76,65,1
4.12,15.14,79.59,28,81
-22.12,14.28,68.0,84,0
52.17,14.25,36.0,92,2
-2.67,141.3,82.31,79,45
5.89,95.32,83.35,77,87
61.95,159.23,-20.85,70,0
33.34,44.4,51.8,62,4
57.33,-2.32,42.08,86,19
-10.95,39.1,77.13,94,100
50.6,97.52,-12.62,91,68
2.89,-72.13,86.95,62,50
36.74,-88.64,22.82,73,90
-35.3,148.22,54.99,91,73
67.54,133.38,-23.1,99,96
4.65,22.26,78.96,24,33
-42.77,-65.04,85.44,14,0
27.92,96.17,54.54,83,78
48.65,-53.11,28.99,89,93
55.74,-97.86,6.8,71,75
47.67,-52.73,30.51,92,90
37.72,-25.43,60.8,67,40
52.51,4.96,41.76,81,26
35.73,140.83,32.32,100,20
32.35,-85.2,40.28,41,1
18.09,-67.15,82.2,67,90
54.67,20.13,39.2,80,20
1.1,36.7,69.78,53,28
35.86,8.48,50.0,46,20
37.25,55.17,35.6,93,90
-26.37,-70.05,87.48,21,85
-16.16,33.59,77.0,100,75
54.77,-101.86,3.2,77,75
-6.22,155.63,80.22,74,69
20.89,-156.47,68.4,82,20
17.49,44.13,66.2,22,0
-22.09,-70.2,79.34,29,46
-32.03,-52.1,91.4,55,2
-22.97,-42.03,81.48,69,40
-20.01,57.66,80.8,83,40
9.23,29.83,76.96,24,65
40.28,97.2,13.24,67,0
6.35,116.43,77.13,94,75
-23.86,35.38,77.0,65,75
7.69,126.55,69.82,93,45
63.75,-68.51,-20.11,68,75
40.13,124.39,17.15,65,0
47.5,-120.5,32.4,99,75
7.77,-72.22,89.6,43,40
36.32,41.88,42.93,91,100
41.39,2.16,45.9,81,40
21.8,-100.93,55.4,76,90
29.52,76.85,51.28,69,86
-20.73,139.5,84.2,37,90
46.62,10.7,17.89,62,5
63.01,112.47,-3.93,91,100
62.58,6.13,47.93,93,75
-37.83,140.77,48.2,87,95
60.75,42.05,27.77,92,100
51.36,112.48,-4.11,90,100
-21.36,55.77,79.45,78,75
46.49,135.88,-4.92,98,99
13.52,35.77,76.26,33,8
45.02,-93.22,14.29,78,1
-9.67,-35.74,86.0,58,20
60.92,-46.05,23.0,57,75
0.39,9.45,84.2,79,20
77.48,-69.36,-12.95,76,88
59.36,5.22,46.18,93,75
24.09,32.91,57.02,38,0
61.6,5.03,47.34,93,75
-30.18,-50.21,76.6,83,19
-5.38,27.0,72.18,87,96
32.9,-105.96,45.01,42,1
16.52,-90.64,74.89,88,84
37.4,136.9,39.34,90,100
-16.52,-151.75,81.07,76,100
54.3,110.3,-13.09,97,89
69.45,-133.04,-22.0,74,20
69.7,170.31,-13.14,97,100
-23.85,151.25,81.79,78,93
-20.02,148.23,76.87,88,40
-3.8,102.27,74.82,91,100
-13.88,167.55,81.48,78,10
-33.23,-54.38,95.9,30,0
-2.53,112.95,75.72,94,100
53.53,119.45,-12.3,98,85
54.28,-0.4,40.71,86,40
53.05,158.65,1.4,70,100
36.06,14.2,56.71,82,40
44.17,66.75,29.23,96,100
42.16,-72.33,24.93,32,1
68.05,166.44,-27.96,98,100
29.27,82.18,22.05,79,80
70.63,147.92,-16.01,97,100
33.53,-84.37,35.26,47,1
25.28,110.29,46.4,100,90
6.88,73.1,82.53,73,67
44.63,135.35,2.32,82,7
-38.0,-57.56,75.2,69,20
-21.69,165.68,68.0,82,75
-0.95,100.35,69.22,96,100
12.06,-61.75,86.0,62,20
-2.92,-39.92,87.67,59,90
68.22,-135.01,-20.2,75,40
50.53,42.67,30.63,84,100
-46.28,169.85,54.84,91,100
45.17,10.78,40.39,45,83
37.15,122.38,32.56,48,44
57.79,-152.41,14.0,72,1
28.42,30.78,58.05,54,48
61.28,108.01,-9.56,89,100
31.22,29.96,58.24,54,40
50.2,-66.38,7.34,46,40
-12.23,136.77,80.6,78,40
12.48,102.07,81.66,66,0
56.45,138.17,-2.06,76,100
8.98,125.41,71.49,93,6
62.58,29.75,35.78,93,90
51.26,-80.61,6.8,60,1
34.45,40.92,53.02,70,31
-18.42,-66.63,59.0,54,75
48.01,91.64,6.57,49,100
-5.81,-61.3,89.6,66,40
35.1,33.42,47.57,52,75
47.91,106.88,-14.8,68,12
64.25,-15.21,35.6,55,20
54.93,23.6,37.4,83,90
61.35,16.39,46.0,69,100
-2.38,34.08,66.79,76,45
62.55,155.55,-27.13,96,85
34.8,116.08,39.0,61,93
0.8,127.4,73.74,92,37
50.68,156.12,10.22,79,75
63.92,127.47,-28.32,97,19
-42.72,170.97,59.31,90,42
-7.47,-34.81,87.8,45,20
39.27,141.88,31.93,72,32
27.18,88.53,47.88,72,0
-20.34,57.76,80.76,83,40
64.5,-165.41,10.65,92,90
10.67,-5.17,87.53,13,84
29.6,-90.72,49.35,39,1
-18.37,26.5,71.33,86,88
30.76,20.23,61.23,57,0
67.67,12.69,39.2,93,75
41.71,-87.76,27.21,63,90
36.75,118.06,33.01,61,100
18.74,7.39,70.57,15,0
13.47,22.2,66.42,18,0
-28.77,114.6,69.8,73,90
26.59,12.78,57.27,27,0
-45.87,170.5,57.0,93,100
5.67,73.0,82.09,76,34
54.43,-124.25,33.42,99,100
2.18,22.47,79.77,53,29
63.9,122.76,-22.43,99,62
-25.17,45.05,69.44,74,92
72.79,-56.15,-6.2,62,90
-16.7,-151.02,81.32,76,94
-22.96,14.51,69.12,68,4
63.45,120.32,-15.43,95,36
-1.98,32.92,73.15,61,32
64.84,-147.72,-22.11,74,1
33.73,135.98,46.76,65,12
42.12,118.78,13.62,43,11
68.75,161.3,-23.82,98,100
40.16,-8.33,47.41,39,20
13.22,-59.52,84.2,66,75
12.48,-16.55,85.91,74,97
68.41,16.0,36.9,86,75
19.22,-104.7,84.2,74,5
-20.22,-70.14,80.6,51,100
-4.05,19.53,79.0,70,100
8.35,-62.65,91.67,40,99
28.23,83.98,47.82,76,7
20.71,-78.0,76.69,78,0
37.27,-87.18,21.52,62,90
11.66,-70.22,83.61,69,7
42.04,-87.69,27.61,63,90
18.43,-65.83,80.67,78,75
31.58,-90.44,43.38,33,1
-6.05,-76.97,86.2,46,15
-31.41,-64.18,82.26,83,75
4.42,-7.35,81.91,76,35
5.18,97.15,72.64,91,100
56.55,37.88,33.01,92,100
48.93,-125.55,45.93,93,75
-10.45,161.92,76.28,83,50
-8.12,111.89,75.02,85,100
66.56,67.8,-1.7,95,99
1.57,30.25,77.31,46,29
50.12,-5.54,40.93,55,0
39.76,-105.22,43.47,17,40
-2.02,147.27,82.9,78,31
54.18,45.41,31.14,96,95
34.48,136.85,45.68,61,75
15.86,104.63,73.99,64,0
2.95,-76.7,83.73,48,8
13.08,109.3,76.06,79,98
-20.23,164.02,77.85,78,2
-8.93,125.41,68.38,77,100
-20.91,55.61,79.07,83,75
18.73,-103.68,84.2,45,5
12.93,-85.92,73.4,69,40
-18.95,-57.8,97.72,50,40
-8.88,147.74,61.23,86,54
64.86,-147.8,-22.11,74,1
9.49,50.81,76.66,78,0
37.2,-94.35,26.83,68,90
63.84,-22.43,35.6,59,75
-20.74,116.85,84.34,79,2
71.0,24.66,36.5,93,75
51.93,22.38,36.0,51,24
50.1,-91.92,3.96,77,5
52.27,79.17,-0.11,93,100
11.0,122.67,70.07,88,19
-19.55,169.27,74.66,67,91
69.3,139.9,-18.06,92,99
22.93,57.53,62.22,55,0
-11.01,-37.21,86.0,55,20
5.73,10.9,77.61,29,42
37.73,-25.67,60.8,67,40
49.28,120.73,-18.44,99,14
24.69,46.72,57.2,50,0
-19.98,57.61,80.8,83,40
62.86,51.89,-3.69,92,0
52.83,70.78,13.66,94,100
11.28,49.18,75.27,54,5
41.81,126.91,-1.8,100,97
7.13,40.7,61.52,37,38
47.6,-53.26,30.47,92,90
65.01,53.91,-4.34,94,8
-15.12,39.27,77.0,94,75
40.74,-114.07,30.2,68,20
62.22,135.8,-16.92,99,100
43.21,-75.46,16.45,47,1
-22.67,167.48,75.56,60,79
71.04,27.85,34.65,80,20
-7.74,-72.65,87.8,70,75
42.25,-75.83,18.86,52,1
27.98,-114.06,68.11,33,23
16.18,75.7,74.98,46,5
4.85,31.58,85.39,23,1
45.52,-122.68,43.83,70,90
-23.49,-58.8,107.82,25,36
52.85,17.72,34.52,86,1
-45.58,-72.07,74.23,44,48
25.35,87.63,56.3,67,1
2.18,-73.78,81.36,83,22
68.05,39.51,19.51,89,100
47.56,46.72,29.73,77,49
49.75,-77.63,3.2,77,90
-17.99,-46.91,80.24,78,43
-2.76,-42.27,87.8,70,20
-3.67,152.43,83.07,74,100
53.57,142.95,-6.93,96,37
-13.85,136.42,80.6,83,90
36.04,-114.98,55.89,30,1
39.36,117.06,22.68,62,7
60.42,134.53,-12.14,98,97
-11.1,-77.61,79.21,58,100
60.55,-151.26,12.34,85,75
45.76,106.27,8.33,77,20
25.52,90.22,55.69,60,0
44.55,41.03,27.81,76,0
-7.95,110.28,75.6,82,100
-9.17,-60.63,91.54,59,73
43.75,-81.72,23.36,88,7
66.32,-179.17,-17.21,92,1
41.79,-107.24,19.06,78,1
37.08,25.15,49.1,57,19
41.12,80.26,22.01,81,23
-12.07,134.27,84.43,71,100
41.15,-87.87,24.58,79,90
49.6,117.43,-10.75,100,65
51.55,-9.27,39.2,86,20
66.94,-53.67,8.62,90,100
45.37,141.82,25.27,72,100
-40.81,-63.0,81.61,23,23
1.74,98.78,71.31,97,75
63.28,118.33,-12.39,92,90
61.12,29.87,34.86,81,100
-28.78,32.04,72.82,66,89
43.52,68.51,20.16,83,55
11.78,-72.44,93.2,46,40
3.0,99.82,81.55,77,100
65.7,82.47,-35.05,100,0
46.72,-92.1,16.16,61,1
-8.45,115.62,82.4,83,20
37.57,126.98,23.0,62,1
-34.2,142.15,58.08,77,0
22.68,-3.98,73.33,11,0
3.81,43.25,83.39,26,0
-22.47,-68.93,78.8,31,40
39.18,-84.53,24.49,58,75
44.39,-68.2,22.26,53,1
58.7,81.48,2.07,86,100
45.06,-83.43,24.67,62,90
31.98,130.98,32.09,91,0
-36.72,-73.12,69.8,60,0
65.82,87.98,-31.2,99,100
0.53,72.93,83.71,80,89
-11.95,-75.28,57.61,50,100
-6.1,106.64,78.03,88,90
69.49,88.4,-40.0,72,40
-33.75,-61.97,78.01,99,59
-13.2,49.05,79.57,88,100
53.98,79.24,-6.3,92,100
-35.12,139.27,59.59,87,2
-29.47,149.85,68.0,34,0
9.86,-66.38,82.63,55,68
22.67,81.75,55.27,40,15
39.1,33.08,29.37,81,90
22.57,59.53,67.91,67,0
-23.67,-46.46,76.96,73,90
29.58,-9.5,45.79,82,62
27.37,87.2,30.97,61,30
13.63,-86.82,73.26,56,75
-15.86,-38.88,86.94,70,75
-45.87,-67.5,63.5,60,36
50.7,-127.42,42.8,100,75
-35.17,173.17,62.01,100,11
-29.66,17.89,64.24,58,0
42.37,-71.18,25.86,36,20
46.22,10.17,22.44,70,10
58.81,-122.7,-11.2,76,90
44.25,-116.97,34.77,69,75
-41.41,175.52,57.06,100,7
12.18,125.51,77.31,72,18
68.12,13.5,38.41,86,75
57.62,63.08,-2.78,99,93
-2.65,10.0,80.02,85,60
40.42,-120.65,33.87,85,1
18.39,42.45,56.28,87,40
37.47,57.33,28.4,74,90
60.75,-137.51,-2.42,99,98
-33.38,148.02,63.0,82,1
-20.32,118.57,84.2,66,40
32.77,22.64,58.1,66,16
54.19,16.17,36.68,91,42
-38.55,-58.74,70.0,82,41
57.31,88.17,-4.29,93,100
17.96,-102.2,89.04,44,0
43.21,-77.58,20.43,57,20
33.08,-16.33,59.77,54,75
-20.57,164.28,67.55,91,2
6.62,73.07,82.47,75,21
41.96,42.96,42.8,81,75
46.43,26.4,32.54,69,75
49.12,-1.09,42.55,81,0
49.78,-74.85,-0.4,70,90
-0.72,8.78,86.0,74,20
68.38,17.6,34.66,86,75
41.57,35.91,42.8,70,90
45.3,42.64,21.2,92,0
-10.88,26.6,65.8,95,100
20.87,-90.4,73.58,82,61
23.17,-97.95,60.01,75,100
27.75,-98.07,60.44,23,1
4.71,-74.23,68.0,45,75
12.48,123.38,75.56,73,0
47.87,88.12,5.76,95,100
-10.62,150.67,77.11,83,52
-21.64,-41.05,76.86,94,90
42.99,143.2,18.46,82,89
-21.01,55.27,79.18,83,75
16.58,82.02,70.57,85,0
5.56,95.32,74.41,95,99
36.82,21.7,50.47,57,20
70.47,-68.59,-18.4,75,75
36.68,-121.66,51.1,81,1
-34.73,135.87,59.05,76,17
67.47,78.7,-31.07,97,1
39.01,-77.43,32.0,36,20
-34.65,-58.62,92.1,55,20
60.45,51.0,6.69,97,86
-33.01,17.94,77.0,47,7
26.18,127.76,60.04,87,90
5.79,0.9,84.2,70,20
16.57,-92.8,82.4,42,20
61.92,63.02,0.64,85,47
14.3,-91.92,89.6,55,20
16.86,-99.89,87.8,74,20
-15.77,128.73,78.8,94,90
21.95,108.62,61.77,90,100
54.23,39.02,35.01,82,92
55.68,-4.07,44.62,87,90
-7.84,-79.15,75.2,73,20
29.19,-82.14,55.36,36,1
60.82,-115.8,-0.4,84,75
59.64,-151.55,18.12,92,90
44.25,43.56,21.92,92,0
52.32,-106.57,10.4,78,75
-8.27,-72.74,92.3,45,99
37.78,-121.98,47.89,93,1
-34.62,-68.33,89.6,35,40
-14.72,-56.33,88.95,61,45
-8.01,-34.86,86.0,62,20
-34.93,138.6,60.22,72,75
28.0,120.67,44.49,75,7
42.54,-113.79,29.05,68,90
66.4,14.52,41.72,81,75
51.34,34.63,30.4,87,100
54.91,8.3,42.96,82,21
31.42,31.81,59.0,67,40
33.58,-96.18,49.95,36,1
-4.27,-81.21,62.6,100,0
-14.83,-64.9,93.2,63,40
36.62,-121.92,51.31,62,75
5.11,-1.25,82.6,79,82
-17.8,-63.17,93.2,56,75
-28.24,-48.67,87.8,55,20
-28.65,153.62,75.02,88,84
